epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.465,0.81912,1.79719,1.0152,0.99418,0.37096,0.58912,0.46287,0.66608,2.67997,0.92158,0.000467346,0.000467346,0.000467346
2,657.878,0.75569,1.0715,0.97277,0.98965,0.60176,0.6493,0.50748,0.70504,1.61073,0.92676,0.000934337,0.000934337,0.000934337
3,852.91,0.70603,0.95975,0.95613,0.95772,0.60666,0.64649,0.55178,0.62207,0.89154,0.9167,0.0013919,0.0013919,0.0013919
4,1089.31,0.67507,0.88667,0.94882,0.97278,0.62745,0.6522,0.55679,0.61779,0.80101,0.9054,0.00138656,0.00138656,0.00138656
5,1277.1,0.67344,0.80194,0.94606,0.97619,0.63912,0.6554,0.56015,0.59714,0.76468,0.8901,0.00137241,0.00137241,0.00137241
6,1465.8,0.67395,0.77442,0.94133,0.98036,0.64128,0.73743,0.65316,0.57947,0.74657,0.87585,0.00135826,0.00135826,0.00135826
7,1654.72,0.63212,0.70425,0.91663,0.75193,0.79289,0.82276,0.69528,0.57605,0.64884,0.877,0.00134412,0.00134412,0.00134412
8,1844.74,0.61443,0.67389,0.91833,0.90035,0.81512,0.82518,0.73097,0.55688,0.62455,0.87637,0.00132997,0.00132997,0.00132997
9,2032.78,0.57262,0.62077,0.90199,0.93321,0.7923,0.82065,0.73337,0.53632,0.57953,0.88074,0.00131582,0.00131582,0.00131582
10,2222.23,0.60004,0.60268,0.91231,0.88777,0.78329,0.82399,0.7133,0.53952,0.56098,0.8743,0.00130168,0.00130168,0.00130168
11,2410.37,0.57419,0.55632,0.89245,0.94221,0.81325,0.82243,0.7317,0.52991,0.52198,0.86634,0.00128753,0.00128753,0.00128753
12,2598.15,0.57546,0.54865,0.89631,0.9224,0.8018,0.82839,0.74624,0.56219,0.53886,0.88644,0.00127338,0.00127338,0.00127338
13,2787.67,0.55428,0.52434,0.88762,0.79225,0.78575,0.82289,0.71355,0.54475,0.48984,0.87876,0.00125923,0.00125923,0.00125923
14,2975.43,0.55307,0.50674,0.89051,0.94079,0.79914,0.8205,0.74021,0.50731,0.46595,0.86433,0.00124509,0.00124509,0.00124509
15,3163.31,0.54038,0.48337,0.88686,0.94936,0.80237,0.82799,0.74868,0.49282,0.45329,0.85214,0.00123094,0.00123094,0.00123094
16,3595.09,0.54198,0.47678,0.88107,0.9446,0.79751,0.8235,0.72895,0.55155,0.47342,0.86508,0.00121679,0.00121679,0.00121679
17,4060.59,0.5257,0.46709,0.87407,0.94802,0.80139,0.82441,0.75585,0.52111,0.43274,0.85929,0.00120265,0.00120265,0.00120265
18,4580.5,0.52392,0.45817,0.87351,0.94151,0.80814,0.83571,0.74241,0.51739,0.41782,0.86556,0.0011885,0.0011885,0.0011885
19,5070.63,0.54171,0.45882,0.88749,0.95209,0.80547,0.87245,0.78001,0.51513,0.41239,0.86225,0.00117435,0.00117435,0.00117435
20,5263.27,0.49027,0.41738,0.86457,0.95147,0.80789,0.85511,0.76576,0.48635,0.39518,0.85519,0.00116021,0.00116021,0.00116021
21,5704.22,0.50852,0.4197,0.87689,0.94669,0.80816,0.87841,0.79743,0.47862,0.38015,0.85554,0.00114606,0.00114606,0.00114606
22,6146.56,0.51342,0.42188,0.87222,0.95283,0.80932,0.82605,0.76279,0.51614,0.40217,0.85804,0.00113191,0.00113191,0.00113191
23,6480.96,0.49975,0.40464,0.87436,0.95509,0.80215,0.83204,0.77298,0.48774,0.38208,0.84981,0.00111776,0.00111776,0.00111776
24,6672.22,0.49526,0.40273,0.86736,0.96014,0.80546,0.86135,0.78135,0.49191,0.37335,0.85355,0.00110362,0.00110362,0.00110362
25,6862.81,0.4963,0.40104,0.86206,0.93788,0.95777,0.99057,0.87551,0.49195,0.37144,0.86099,0.00108947,0.00108947,0.00108947
26,7091.41,0.48423,0.39868,0.86088,0.9592,0.98163,0.98993,0.88421,0.4948,0.3842,0.86276,0.00107532,0.00107532,0.00107532
27,7380.57,0.4928,0.40511,0.86308,0.96162,0.9808,0.99041,0.88409,0.48015,0.36414,0.85595,0.00106118,0.00106118,0.00106118
28,7604.97,0.49969,0.40043,0.86636,0.9607,0.97186,0.9899,0.87684,0.48654,0.37235,0.85792,0.00104703,0.00104703,0.00104703
29,7818.32,0.45911,0.37506,0.85594,0.94534,0.97918,0.98904,0.91167,0.49323,0.38316,0.86859,0.00103288,0.00103288,0.00103288
30,8054.29,0.45683,0.36418,0.85487,0.95379,0.97617,0.99092,0.89461,0.48717,0.34875,0.86089,0.00101873,0.00101873,0.00101873
31,8260.81,0.46336,0.36845,0.85883,0.9585,0.81476,0.82939,0.77297,0.48878,0.33191,0.86137,0.00100459,0.00100459,0.00100459
32,8467.19,0.47487,0.36696,0.86185,0.98276,0.96919,0.98988,0.89776,0.49537,0.34156,0.86745,0.00099044,0.00099044,0.00099044
33,8785.88,0.46751,0.36279,0.86621,0.98414,0.97814,0.98675,0.91161,0.49182,0.34099,0.86256,0.000976293,0.000976293,0.000976293
34,8991.91,0.46155,0.35722,0.85024,0.95922,0.80336,0.90765,0.83595,0.47344,0.33013,0.85267,0.000962146,0.000962146,0.000962146
35,9182.27,0.46061,0.35412,0.85499,0.96183,0.80601,0.87714,0.80888,0.46197,0.34844,0.85075,0.000947999,0.000947999,0.000947999
36,9373.47,0.47283,0.35705,0.86492,0.96102,0.79673,0.82807,0.77434,0.47361,0.33796,0.85734,0.000933851,0.000933851,0.000933851
37,9563.64,0.45889,0.35436,0.85427,0.97162,0.80146,0.93111,0.86662,0.4853,0.33619,0.86537,0.000919704,0.000919704,0.000919704
38,9754.63,0.45024,0.34024,0.85333,0.96128,0.96643,0.99045,0.81989,0.48381,0.32134,0.86003,0.000905557,0.000905557,0.000905557
39,9944.41,0.45193,0.33936,0.85339,0.96684,0.97772,0.99029,0.91982,0.47496,0.30881,0.85119,0.00089141,0.00089141,0.00089141
40,10136.8,0.4503,0.33917,0.84926,0.94777,0.97119,0.98983,0.92911,0.46238,0.31298,0.85467,0.000877263,0.000877263,0.000877263
41,10333.2,0.44528,0.32969,0.84592,0.95793,0.81114,0.87177,0.7837,0.48405,0.33516,0.8576,0.000863116,0.000863116,0.000863116
42,10534.5,0.43996,0.32749,0.84734,0.9607,0.97307,0.98841,0.90887,0.46745,0.31907,0.85275,0.000848969,0.000848969,0.000848969
43,10725.6,0.43544,0.3302,0.84461,0.96778,0.978,0.99094,0.87485,0.46375,0.30873,0.84392,0.000834822,0.000834822,0.000834822
44,10921.1,0.42169,0.31893,0.84506,0.98394,0.98471,0.99142,0.87316,0.46192,0.30067,0.86008,0.000820675,0.000820675,0.000820675
45,11112.5,0.43547,0.32353,0.85049,0.98614,0.98222,0.99052,0.90961,0.45981,0.31257,0.84925,0.000806528,0.000806528,0.000806528
46,11311.9,0.42073,0.31833,0.85014,0.97939,0.98341,0.99114,0.89156,0.462,0.30109,0.8497,0.00079238,0.00079238,0.00079238
47,11517.2,0.41697,0.30596,0.8458,0.98773,0.98151,0.99158,0.89811,0.45161,0.29564,0.8542,0.000778233,0.000778233,0.000778233
48,11721,0.40977,0.30019,0.83996,0.9851,0.97479,0.99222,0.87872,0.47304,0.3031,0.86169,0.000764086,0.000764086,0.000764086
49,12017.5,0.43226,0.31272,0.84839,0.98939,0.97332,0.98996,0.87943,0.44787,0.29774,0.84943,0.000749939,0.000749939,0.000749939
